AL, 93, 2019101012,   , BEST,   0, 380N,  687W,  50,  997, DB,   0,    ,    0,    0,    0,    0, 
AL, 93, 2019101018,   , BEST,   0, 381N,  685W,  50,  997, DB,  34, NEQ,  420,    0,    0,  300, 
AL, 93, 2019101100,   , BEST,   0, 385N,  686W,  50,  997, DB,  34, NEQ,  420,    0,    0,  300, 
AL, 93, 2019101106,   , BEST,   0, 384N,  687W,  50,  997, DB,  34, NEQ,  420,    0,    0,  300, 1009,  150, 120,   0,   0,   L,   0,    ,   0,   0,     INVEST, D, 
AL, 93, 2019101112,   , BEST,   0, 386N,  697W,  55,  995, SS,  34, NEQ,  300,   90,  180,  210, 1010,  150, 120,  65,   0,   L,   0,    ,   0,   0,     INVEST, D, 
AL, 93, 2019101112,   , BEST,   0, 386N,  697W,  55,  995, SS,  50, NEQ,    0,    0,    0,  110, 1010,  150, 120,  65,   0,   L,   0,    ,   0,   0,     INVEST, D, 
