SH, 04, 2012121512,   , BEST,   0, 133S, 1768W,  90,  956, TY,  34, NEQ,  110,  120,  120,  110, 1005,  200,  20,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121512,   , BEST,   0, 133S, 1768W,  90,  956, TY,  50, NEQ,   60,   65,   65,   60, 1005,  200,  20,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121512,   , BEST,   0, 133S, 1768W,  90,  956, TY,  64, NEQ,   35,   40,   40,   35, 1005,  200,  20,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121518,   , BEST,   0, 136S, 1778W, 100,  948, TY,  34, NEQ,  110,  120,  120,  110, 1006,  200,  15,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121518,   , BEST,   0, 136S, 1778W, 100,  948, TY,  50, NEQ,   60,   65,   65,   60, 1006,  200,  15,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121518,   , BEST,   0, 136S, 1778W, 100,  948, TY,  64, NEQ,   35,   40,   40,   35, 1006,  200,  15,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121600,   , BEST,   0, 142S, 1789W, 105,  944, TY,  34, NEQ,  110,  125,  125,  110, 1006,  220,  15,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121600,   , BEST,   0, 142S, 1789W, 105,  944, TY,  50, NEQ,   50,   55,   65,   60, 1006,  220,  15,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121600,   , BEST,   0, 142S, 1789W, 105,  944, TY,  64, NEQ,   35,   45,   45,   45, 1006,  220,  15,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121606,   , BEST,   0, 149S, 1799W, 110,  941, TY,  34, NEQ,  110,  125,  125,  110, 1006,  220,  15,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121606,   , BEST,   0, 149S, 1799W, 110,  941, TY,  50, NEQ,   60,   65,   75,   75, 1006,  220,  15,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121606,   , BEST,   0, 149S, 1799W, 110,  941, TY,  64, NEQ,   35,   45,   50,   55, 1006,  220,  15,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121612,   , BEST,   0, 158S, 1791E, 115,  937, TY,  34, NEQ,  110,  125,  125,  130, 1003,  220,  20,   0,  10,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121612,   , BEST,   0, 158S, 1791E, 115,  937, TY,  50, NEQ,   60,   65,   70,   70, 1003,  220,  20,   0,  10,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121612,   , BEST,   0, 158S, 1791E, 115,  937, TY,  64, NEQ,   35,   45,   50,   55, 1003,  220,  20,   0,  10,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121618,   , BEST,   0, 164S, 1783E, 115,  937, TY,  34, NEQ,  120,  125,  125,  115, 1005,  200,  15,   0,  10,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121618,   , BEST,   0, 164S, 1783E, 115,  937, TY,  50, NEQ,   60,   65,   70,   65, 1005,  200,  15,   0,  10,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121618,   , BEST,   0, 164S, 1783E, 115,  937, TY,  64, NEQ,   35,   45,   50,   45, 1005,  200,  15,   0,  10,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121700,   , BEST,   0, 172S, 1777E, 125,  929, TY,  34, NEQ,  125,  130,  130,  120, 1005,  200,  15,   0,  15,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121700,   , BEST,   0, 172S, 1777E, 125,  929, TY,  50, NEQ,   70,   75,   75,   65, 1005,  200,  15,   0,  15,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121700,   , BEST,   0, 172S, 1777E, 125,  929, TY,  64, NEQ,   50,   55,   55,   45, 1005,  200,  15,   0,  15,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121706,   , BEST,   0, 179S, 1773E, 115,  937, TY,  34, NEQ,  125,  130,  130,  120, 1005,  200,  15,   0,   5,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121706,   , BEST,   0, 179S, 1773E, 115,  937, TY,  50, NEQ,   70,   75,   75,   65, 1005,  200,  15,   0,   5,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121706,   , BEST,   0, 179S, 1773E, 115,  937, TY,  64, NEQ,   50,   55,   55,   50, 1005,  200,  15,   0,   5,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121712,   , BEST,   0, 188S, 1771E, 110,  941, TY,  34, NEQ,  120,  120,  120,  115, 1005,  200,  15,   0,   5,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121712,   , BEST,   0, 188S, 1771E, 110,  941, TY,  50, NEQ,   70,   75,   75,   65, 1005,  200,  15,   0,   5,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121712,   , BEST,   0, 188S, 1771E, 110,  941, TY,  64, NEQ,   50,   55,   55,   45, 1005,  200,  15,   0,   5,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121718,   , BEST,   0, 196S, 1770E, 105,  944, TY,  34, NEQ,  125,  130,  130,  120, 1005,  200,  15,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121718,   , BEST,   0, 196S, 1770E, 105,  944, TY,  50, NEQ,   70,   75,   75,   65, 1005,  200,  15,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121718,   , BEST,   0, 196S, 1770E, 105,  944, TY,  64, NEQ,   50,   55,   55,   45, 1005,  200,  15,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121800,   , BEST,   0, 203S, 1770E, 100,  948, TY,  34, NEQ,  120,  125,  125,  115, 1005,  200,  15,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121800,   , BEST,   0, 203S, 1770E, 100,  948, TY,  50, NEQ,   65,   70,   70,   60, 1005,  200,  15,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121800,   , BEST,   0, 203S, 1770E, 100,  948, TY,  64, NEQ,   45,   45,   45,   45, 1005,  200,  15,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121806,   , BEST,   0, 209S, 1771E,  95,  952, TY,  34, NEQ,  120,  145,  135,  115, 1002,  185,  15,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121806,   , BEST,   0, 209S, 1771E,  95,  952, TY,  50, NEQ,   65,   70,   70,   50, 1002,  185,  15,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121806,   , BEST,   0, 209S, 1771E,  95,  952, TY,  64, NEQ,   35,   35,   45,   30, 1002,  185,  15,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121812,   , BEST,   0, 214S, 1772E,  85,  959, TY,  34, NEQ,  110,  135,  135,   90, 1002,  190,  25,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121812,   , BEST,   0, 214S, 1772E,  85,  959, TY,  50, NEQ,   60,   70,   70,   50, 1002,  190,  25,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121812,   , BEST,   0, 214S, 1772E,  85,  959, TY,  64, NEQ,   35,   45,   45,   30, 1002,  190,  25,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121818,   , BEST,   0, 223S, 1774E,  65,  974, TY,  34, NEQ,   90,  115,  115,   80, 1002,  180,  25,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121818,   , BEST,   0, 223S, 1774E,  65,  974, TY,  50, NEQ,   50,   50,   50,   50, 1002,  180,  25,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121900,   , BEST,   0, 228S, 1778E,  55,  982, TS,  34, NEQ,   80,  105,  105,   75, 1002,  170,  25,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121900,   , BEST,   0, 228S, 1778E,  55,  982, TS,  50, NEQ,   35,   35,   35,   35, 1002,  170,  25,   0,   0,   P,   0,    ,   0,   0,       EVAN, D, 
SH, 04, 2012121906,   , BEST,   0, 234S, 1782E,  45,  989, TS,  34, NEQ,  135,  150,  100,   75, 1002,  180,  75,   0,   0,   P,   0,    ,   0,   0,       EVAN, M, 
SH, 04, 2012121912,   , BEST,   0, 239S, 1784E,  40,  993, TS,  34, NEQ,  115,  125,  100,   75, 1003,  180,  45,   0,   0,   P,   0,    ,   0,   0,       EVAN, M, 
SH, 04, 2012121918,   , BEST,   0, 243S, 1785E,  35,  996, TS,  34, NEQ,  115,  125,  100,   75, 1002,  180,  45,   0,   0,   P,   0,    ,   0,   0,       EVAN, M, 
SH, 04, 2012122000,   , BEST,   0, 246S, 1786E,  35,  996, TS,  34, NEQ,  115,  125,  100,   75, 1003,  180,  45,   0,   0, 
SH, 04, 2012122006,   , BEST,   0, 248S, 1790E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 
