AL, 05, 2015082806,   , BEST,   0, 174N,  669W,  45, 1006, TS,  34, NEQ,  130,  120,    0,    0, 1010,  175,  30,  55,   0,   L,   0,    ,   0,   0,      ERIKA, M, 12, NEQ,  210,   60,    0,    0, 
AL, 05, 2015082812,   , BEST,   0, 176N,  685W,  45, 1008, TS,  34, NEQ,  130,  120,    0,    0, 1010,  175,  50,  55,   0,   L,   0,    ,   0,   0,      ERIKA, M, 12, NEQ,  210,    0,    0,    0, 
AL, 05, 2015082818,   , BEST,   0, 176N,  704W,  45, 1009, TS,  34, NEQ,  120,  120,    0,    0, 1012,  125,  50,  55,   0,   L,   0,    ,   0,   0,      ERIKA, M, 12, NEQ,  180,  120,    0,    0, 
AL, 05, 2015082900,   , BEST,   0, 182N,  723W,  40, 1008, TS,  34, NEQ,  120,  120,    0,    0, 1012,  125,  50,  50,   0,   L,   0,    ,   0,   0,      ERIKA, M, 
AL, 05, 2015082906,   , BEST,   0, 188N,  744W,  35, 1008, TS,  34, NEQ,  120,  120,    0,    0, 1012,  125,  50,  35,   0,   L,   0,    ,   0,   0,      ERIKA, M, 12, NEQ,  240,  150,    0,    0, 
AL, 05, 2015082912,   , BEST,   0, 213N,  756W,  35, 1008, DB,  34, NEQ,  120,  120,    0,    0, 1012,  125,  50,   0,   0,    ,   0,    ,   0,   0,      ERIKA,  , 
AL, 05, 2015082918,   , BEST,   0, 224N,  775W,  35, 1012, DB,  34, NEQ,   75,   75,    0,    0, 1013,   75,  60,   0,   0,   L,   0,    ,   0,   0,      ERIKA, M, 
AL, 05, 2015083000,   , BEST,   0, 235N,  793W,  30, 1012, DB,   0,    ,    0,    0,    0,    0, 1013,   75,  60,   0,   0,   L,   0,    ,   0,   0,      ERIKA, M, 
AL, 05, 2015083006,   , BEST,   0, 243N,  808W,  30, 1012, DB,   0,    ,    0,    0,    0,    0, 1013,  180,  90,   0,   0,   L,   0,    ,   0,   0,      ERIKA, S, 
AL, 05, 2015083012,   , BEST,   0, 247N,  824W,  25, 1013, DB,   0,    ,    0,    0,    0,    0, 1013,  180,  90,   0,   0,   L,   0,    ,   0,   0,      ERIKA, S, 
