SH, 05, 2015011312,   , BEST,   0, 172S,  579E, 130,  926, ST,  50, NEQ,   60,   70,   60,   55, 1006,  210,  10,   0,  10,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011312,   , BEST,   0, 172S,  579E, 130,  926, ST,  64, NEQ,   25,   30,   20,   20, 1006,  210,  10,   0,  10,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011318,   , BEST,   0, 173S,  581E, 115,  937, TY,  34, NEQ,  120,  120,   95,   75, 1006,  220,  10,   0,  10,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011318,   , BEST,   0, 173S,  581E, 115,  937, TY,  50, NEQ,   60,   70,   60,   55, 1006,  220,  10,   0,  10,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011318,   , BEST,   0, 173S,  581E, 115,  937, TY,  64, NEQ,   25,   30,   20,   20, 1006,  220,  10,   0,  10,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011400,   , BEST,   0, 174S,  582E, 105,  944, TY,  34, NEQ,  120,  120,   95,   75, 1006,  220,  10,   0,   0,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011400,   , BEST,   0, 174S,  582E, 105,  944, TY,  50, NEQ,   60,   70,   60,   55, 1006,  220,  10,   0,   0,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011400,   , BEST,   0, 174S,  582E, 105,  944, TY,  64, NEQ,   25,   30,   20,   20, 1006,  220,  10,   0,   0,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011406,   , BEST,   0, 173S,  585E,  90,  956, TY,  34, NEQ,  120,  115,   90,   90, 1006,  250,  10,   0,   0,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011406,   , BEST,   0, 173S,  585E,  90,  956, TY,  50, NEQ,   60,   50,   50,   45, 1006,  250,  10,   0,   0,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011406,   , BEST,   0, 173S,  585E,  90,  956, TY,  64, NEQ,   30,   25,   20,   20, 1006,  250,  10,   0,   0,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011412,   , BEST,   0, 173S,  589E,  90,  956, TY,  34, NEQ,  110,  100,   90,   85, 1006,  250,  10,   0,   0,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011412,   , BEST,   0, 173S,  589E,  90,  956, TY,  50, NEQ,   60,   60,   50,   50, 1006,  250,  10,   0,   0,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011412,   , BEST,   0, 173S,  589E,  90,  956, TY,  64, NEQ,   25,   30,   30,   20, 1006,  250,  10,   0,   0,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011418,   , BEST,   0, 174S,  596E,  90,  956, TY,  34, NEQ,  110,  100,  100,  110, 1003,  220,  12,   0,  15,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011418,   , BEST,   0, 174S,  596E,  90,  956, TY,  50, NEQ,   60,   60,   60,   60, 1003,  220,  12,   0,  15,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011418,   , BEST,   0, 174S,  596E,  90,  956, TY,  64, NEQ,   30,   30,   30,   30, 1003,  220,  12,   0,  15,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011500,   , BEST,   0, 177S,  602E, 105,  944, TY,  34, NEQ,  130,  120,  120,  130, 1002,  220,  20,   0,  30,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011500,   , BEST,   0, 177S,  602E, 105,  944, TY,  50, NEQ,   60,   60,   60,   60, 1002,  220,  20,   0,  30,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011500,   , BEST,   0, 177S,  602E, 105,  944, TY,  64, NEQ,   40,   40,   40,   40, 1002,  220,  20,   0,  30,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011506,   , BEST,   0, 179S,  608E, 120,  933, TY,  34, NEQ,  130,  120,  120,  130, 1002,  220,  25,   0,  40,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011506,   , BEST,   0, 179S,  608E, 120,  933, TY,  50, NEQ,   60,   60,   60,   60, 1002,  220,  25,   0,  40,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011506,   , BEST,   0, 179S,  608E, 120,  933, TY,  64, NEQ,   40,   40,   40,   40, 1002,  220,  25,   0,  40,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011512,   , BEST,   0, 180S,  617E, 115,  937, TY,  34, NEQ,  130,  120,  120,  130, 1001,  220,  25,   0,  40,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011512,   , BEST,   0, 180S,  617E, 115,  937, TY,  50, NEQ,   60,   60,   60,   60, 1001,  220,  25,   0,  40,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011512,   , BEST,   0, 180S,  617E, 115,  937, TY,  64, NEQ,   40,   40,   40,   40, 1001,  220,  25,   0,  40,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011518,   , BEST,   0, 183S,  629E, 115,  937, TY,  34, NEQ,  140,  130,  130,  140, 1001,  220,  20,   0,  30,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011518,   , BEST,   0, 183S,  629E, 115,  937, TY,  50, NEQ,   70,   70,   70,   70, 1001,  220,  20,   0,  30,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011518,   , BEST,   0, 183S,  629E, 115,  937, TY,  64, NEQ,   40,   40,   40,   40, 1001,  220,  20,   0,  30,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011600,   , BEST,   0, 190S,  641E, 115,  937, TY,  34, NEQ,  140,  130,  130,  140, 1001,  230,  15,   0,  20,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011600,   , BEST,   0, 190S,  641E, 115,  937, TY,  50, NEQ,   70,   70,   70,   70, 1001,  230,  15,   0,  20,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011600,   , BEST,   0, 190S,  641E, 115,  937, TY,  64, NEQ,   40,   40,   40,   40, 1001,  230,  15,   0,  20,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011606,   , BEST,   0, 200S,  653E, 130,  926, ST,  34, NEQ,  160,  150,  150,  160, 1001,  230,  20,   0,  30,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011606,   , BEST,   0, 200S,  653E, 130,  926, ST,  50, NEQ,  100,  100,  100,  100, 1001,  230,  20,   0,  30,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011606,   , BEST,   0, 200S,  653E, 130,  926, ST,  64, NEQ,   60,   60,   60,   60, 1001,  230,  20,   0,  30,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011612,   , BEST,   0, 215S,  662E, 125,  929, TY,  34, NEQ,  160,  150,  150,  160, 1000,  220,  20,   0,  30,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011612,   , BEST,   0, 215S,  662E, 125,  929, TY,  50, NEQ,  100,  100,  100,  100, 1000,  220,  20,   0,  30,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011612,   , BEST,   0, 215S,  662E, 125,  929, TY,  64, NEQ,   60,   60,   60,   60, 1000,  220,  20,   0,  30,   S,   0,    ,   0,   0,      BANSI, D, 
