EP, 08, 2013080700,   , BEST,   0, 149N, 1327W,  80,  981, HU,  64, NEQ,   20,   20,   20,   20, 1010,  150,  20, 100,   0,   E,   0,    ,   0,   0,  HENRIETTE, D, 12, NEQ,  150,  120,   60,  120
EP, 08, 2013080706,   , BEST,   0, 154N, 1335W,  80,  981, HU,  34, NEQ,   70,   70,   50,   70, 1012,  150,  20, 100,   0,   E,   0,    ,   0,   0,  HENRIETTE, D, 12, NEQ,  150,  120,   60,  120
EP, 08, 2013080706,   , BEST,   0, 154N, 1335W,  80,  981, HU,  50, NEQ,   40,   40,   30,   40, 1012,  150,  20, 100,   0,   E,   0,    ,   0,   0,  HENRIETTE, D, 12, NEQ,  150,  120,   60,  120
EP, 08, 2013080706,   , BEST,   0, 154N, 1335W,  80,  981, HU,  64, NEQ,   20,   20,   20,   20, 1012,  150,  20, 100,   0,   E,   0,    ,   0,   0,  HENRIETTE, D, 12, NEQ,  150,  120,   60,  120
EP, 08, 2013080712,   , BEST,   0, 160N, 1345W,  75,  983, HU,  34, NEQ,   70,   70,   50,   70, 1012,  150,  20,  90,   0,   E,   0,    ,   0,   0,  HENRIETTE, D, 12, NEQ,  180,  120,   60,  180
EP, 08, 2013080712,   , BEST,   0, 160N, 1345W,  75,  983, HU,  50, NEQ,   40,   40,   30,   40, 1012,  150,  20,  90,   0,   E,   0,    ,   0,   0,  HENRIETTE, D, 12, NEQ,  180,  120,   60,  180
EP, 08, 2013080712,   , BEST,   0, 160N, 1345W,  75,  983, HU,  64, NEQ,   20,   20,   20,   20, 1012,  150,  20,  90,   0,   E,   0,    ,   0,   0,  HENRIETTE, D, 12, NEQ,  180,  120,   60,  180
EP, 08, 2013080718,   , BEST,   0, 165N, 1354W,  75,  983, HU,  34, NEQ,   70,   70,   50,   70, 1012,  120,  15,  90,   0,   E,   0,    ,   0,   0,  HENRIETTE, D, 12, NEQ,  180,  120,   60,  150
EP, 08, 2013080718,   , BEST,   0, 165N, 1354W,  75,  983, HU,  50, NEQ,   40,   40,   30,   40, 1012,  120,  15,  90,   0,   E,   0,    ,   0,   0,  HENRIETTE, D, 12, NEQ,  180,  120,   60,  150
EP, 08, 2013080718,   , BEST,   0, 165N, 1354W,  75,  983, HU,  64, NEQ,   20,   20,   20,   20, 1012,  120,  15,  90,   0,   E,   0,    ,   0,   0,  HENRIETTE, D, 12, NEQ,  180,  120,   60,  150
EP, 08, 2013080800,   , BEST,   0, 168N, 1362W,  75,  984, HU,  34, NEQ,   70,   70,   50,   70, 1010,  120,  15,  90,   0,   E,   0,    ,   0,   0,  HENRIETTE, D, 12, NEQ,  150,   90,   75,  150
EP, 08, 2013080800,   , BEST,   0, 168N, 1362W,  75,  984, HU,  50, NEQ,   40,   40,   30,   40, 1010,  120,  15,  90,   0,   E,   0,    ,   0,   0,  HENRIETTE, D, 12, NEQ,  150,   90,   75,  150
EP, 08, 2013080800,   , BEST,   0, 168N, 1362W,  75,  984, HU,  64, NEQ,   20,   20,   20,   20, 1010,  120,  15,  90,   0,   E,   0,    ,   0,   0,  HENRIETTE, D, 12, NEQ,  150,   90,   75,  150
EP, 08, 2013080806,   , BEST,   0, 171N, 1370W,  75,  984, HU,  34, NEQ,   80,   40,   40,   50, 1012,  120,  10,  90,   0,   E,   0,    ,   0,   0,  HENRIETTE, D, 12, NEQ,  150,   90,   75,  150
