WP, 20, 2016092106,   , BEST,   0, 102N, 1496E,  20, 1006, DB,   0,    ,    0,    0,    0,    0, 1009,  180,  45,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 20, 2016092112,   , BEST,   0, 101N, 1467E,  20, 1006, DB,   0,    ,    0,    0,    0,    0, 1008,  180,  45,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 20, 2016092118,   , BEST,   0, 100N, 1440E,  20, 1006, DB,   0,    ,    0,    0,    0,    0, 1010,  200,  45,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 20, 2016092200,   , BEST,   0, 103N, 1425E,  20, 1006, DB,   0,    ,    0,    0,    0,    0, 1010,  200,  45,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 20, 2016092206,   , BEST,   0, 113N, 1412E,  20, 1006, DB,   0,    ,    0,    0,    0,    0, 1010,  200,  45,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 20, 2016092212,   , BEST,   0, 128N, 1405E,  20, 1005, DB,   0,    ,    0,    0,    0,    0, 1010,  200,  45,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 20, 2016092218,   , BEST,   0, 141N, 1401E,  20, 1005, DB,   0,    ,    0,    0,    0,    0, 1006,  210,  40,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 20, 2016092300,   , BEST,   0, 158N, 1396E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1006,  195,  40,   0,   0,   W,   0,    ,   0,   0,       MEGI, S,  0,    ,    0,    0,    0,    0, TRANSITIONED, wpF62016 to wp202016, DISSIPATED, wp202016 to wp962016, TRANSITIONED, wpG62016 to wp202016, 
WP, 20, 2016092306,   , BEST,   0, 166N, 1389E,  35, 1001, TS,   0,    ,    0,    0,    0,    0, 1006,  175,  40,  45,   0,   W,   0,    ,   0,   0,       MEGI, S, 
WP, 20, 2016092312,   , BEST,   0, 169N, 1381E,  35, 1001, TS,   0,    ,    0,    0,    0,    0, 1006,  185,  40,   0,   0,   W,   0,    ,   0,   0,       MEGI, M, 
WP, 20, 2016092318,   , BEST,   0, 172N, 1371E,  35,  999, TS,   0,    ,    0,    0,    0,    0, 1005,  300,  50,   0,   0,   W,   0,    ,   0,   0,       MEGI, M, 
