EP, 07, 2012080918,   , BEST,   0, 170N, 1189W,  60,  992, TS,  34, NEQ,   70,   70,   50,   60, 1010,  160,  25,  75,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  120,  120,   90,  110
EP, 07, 2012080918,   , BEST,   0, 170N, 1189W,  60,  992, TS,  50, NEQ,   40,   40,   30,   30, 1010,  160,  25,  75,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  120,  120,   90,  110
EP, 07, 2012081000,   , BEST,   0, 174N, 1189W,  60,  992, TS,  34, NEQ,   80,   70,   50,   60, 1010,  160,  25,  75,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  120,  120,   90,  120
EP, 07, 2012081000,   , BEST,   0, 174N, 1189W,  60,  992, TS,  50, NEQ,   40,   40,   30,   30, 1010,  160,  25,  75,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  120,  120,   90,  120
EP, 07, 2012081006,   , BEST,   0, 180N, 1189W,  60,  993, TS,  34, NEQ,   80,   70,   50,   60, 1010,  160,  20,  75,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  120,  120,   90,  120
EP, 07, 2012081006,   , BEST,   0, 180N, 1189W,  60,  993, TS,  50, NEQ,   40,   40,   30,   30, 1010,  160,  20,  75,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  120,  120,   90,  120
EP, 07, 2012081012,   , BEST,   0, 185N, 1192W,  55,  994, TS,  34, NEQ,   80,   70,   50,   60, 1010,  160,  20,  65,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  120,  120,   90,  120
EP, 07, 2012081012,   , BEST,   0, 185N, 1192W,  55,  994, TS,  50, NEQ,   40,   40,   30,   30, 1010,  160,  20,  65,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  120,  120,   90,  120
EP, 07, 2012081018,   , BEST,   0, 189N, 1194W,  50,  998, TS,  34, NEQ,   80,   70,   50,   60, 1010,  160,  20,  60,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  120,  120,   90,  100
EP, 07, 2012081018,   , BEST,   0, 189N, 1194W,  50,  998, TS,  50, NEQ,   40,   40,   30,   30, 1010,  160,  20,  60,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  120,  120,   90,  100
EP, 07, 2012081100,   , BEST,   0, 193N, 1195W,  50,  998, TS,  34, NEQ,   80,   70,   50,   60, 1010,  160,  20,  60,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  100,  100,   75,  100
EP, 07, 2012081100,   , BEST,   0, 193N, 1195W,  50,  998, TS,  50, NEQ,   20,    0,    0,    0, 1010,  160,  20,  60,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  100,  100,   75,  100
EP, 07, 2012081106,   , BEST,   0, 198N, 1198W,  40, 1002, TS,  34, NEQ,   70,   60,   50,   40, 1010,  150,  30,  50,   0,   E,   0,    ,   0,   0,      GILMA, M, 12, NEQ,   90,   90,   60,   90
EP, 07, 2012081112,   , BEST,   0, 200N, 1200W,  30, 1004, TD,   0,    ,    0,    0,    0,    0, 1010,  150,  30,  40,   0,   E,   0,    ,   0,   0,      GILMA, M, 
EP, 07, 2012081118,   , BEST,   0, 204N, 1203W,  30, 1004, PT,  34, NEQ,    0,    0,    0,    0, 1010,  150,  30,  40,   0,   E,   0,    ,   0,   0,      GILMA, M, 
