EP, 21, 2016111300,   , BEST,   0, 167N, 1081W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 1011,  250, 120,   0,   0,   E,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 040, 
EP, 21, 2016111306,   , BEST,   0, 172N, 1076W,  30, 1005, LO,   0,    ,    0,    0,    0,    0, 1011,  250, 120,   0,   0,    ,   0,    ,   0,   0,     INVEST,  ,  0,    ,    0,    0,    0,    0, genesis-num, 040, 
EP, 21, 2016111312,   , BEST,   0, 177N, 1071W,  35, 1004, LO,  34, NEQ,   90,   90,    0,    0, 1010,  250, 120,   0,   0,   E,   0,    ,   0,   0,     INVEST, M,  0,    ,    0,    0,    0,    0, genesis-num, 040, 
EP, 21, 2016111318,   , BEST,   0, 179N, 1071W,  35, 1006, LO,  34, NEQ,   90,   90,    0,    0, 1010,  250,  90,   0,   0,   E,   0,    ,   0,   0,     INVEST, M,  0,    ,    0,    0,    0,    0, genesis-num, 040, 
EP, 21, 2016111400,   , BEST,   0, 183N, 1071W,  35, 1005, TS,  34, NEQ,   90,   90,    0,    0, 1010,  250,  90,  45,   0,   E,   0,    ,   0,   0,       TINA, M, 12, NEQ,   90,    0,    0,    0, genesis-num, 040, TRANSITIONED, epF22016 to ep212016, 
EP, 21, 2016111406,   , BEST,   0, 186N, 1077W,  35, 1006, TS,  34, NEQ,   90,   60,    0,    0, 1009,  120,  90,  45,   0,   E,   0,    ,   0,   0,       TINA, M, 12, NEQ,   90,    0,    0,    0, genesis-num, 040, 
EP, 21, 2016111412,   , BEST,   0, 188N, 1084W,  35, 1007, TS,  34, NEQ,   90,   60,    0,    0, 1010,  120,  90,  45,   0,   E,   0,    ,   0,   0,       TINA, M, 12, NEQ,   90,   60,    0,    0, genesis-num, 040, 
EP, 21, 2016111418,   , BEST,   0, 189N, 1089W,  30, 1008, TD,   0,    ,    0,    0,    0,    0, 1011,  120, 100,  40,   0,   E,   0,    ,   0,   0,       TINA, S, 12, NEQ,   60,   30,    0,    0, genesis-num, 040, 
EP, 21, 2016111500,   , BEST,   0, 189N, 1095W,  25, 1009, LO,   0,    ,    0,    0,    0,    0, 1011,  120, 100,  35,   0,   E,   0,    ,   0,   0,       TINA, S, 12, NEQ,   30,    0,    0,    0, genesis-num, 040, 
