CP, 01, 2016011100,   , BEST,   0,  79N, 1736W,  50,  993, TS,  50, NEQ,   30,   30,   30,   30, 1008,  220,  30,  60,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  200,  150,  150,  250, 
CP, 01, 2016011106,   , BEST,   0,  80N, 1732W,  55,  990, TS,  34, NEQ,  100,  120,  120,   90, 1007,  170,  20,  65,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  200,  150,  150,  250, 
CP, 01, 2016011106,   , BEST,   0,  80N, 1732W,  55,  990, TS,  50, NEQ,   30,   30,   30,   30, 1007,  170,  20,  65,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  200,  150,  150,  250, 
CP, 01, 2016011112,   , BEST,   0,  83N, 1728W,  55,  990, TS,  34, NEQ,  110,  120,  110,   90, 1008,  175,  20,  60,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  170,  130,  130,  165, 
CP, 01, 2016011112,   , BEST,   0,  83N, 1728W,  55,  990, TS,  50, NEQ,   30,   30,   30,   25, 1008,  175,  20,  60,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  170,  130,  130,  165, 
CP, 01, 2016011118,   , BEST,   0,  83N, 1726W,  65,  986, HU,  34, NEQ,  110,  110,  110,  100, 1008,  175,  20,  65,  20,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  160,  140,  140,  150, 
CP, 01, 2016011118,   , BEST,   0,  83N, 1726W,  65,  986, HU,  50, NEQ,   30,   30,   30,   30, 1008,  175,  20,  65,  20,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  160,  140,  140,  150, 
CP, 01, 2016011118,   , BEST,   0,  83N, 1726W,  65,  986, HU,  64, NEQ,   10,    0,    0,    0, 1008,  175,  20,  65,  20,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  160,  140,  140,  150, 
CP, 01, 2016011200,   , BEST,   0,  83N, 1720W,  75,  982, HU,  34, NEQ,  110,   90,   40,  100, 1008,  175,  10,  90,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  160,  140,  140,  150, 
CP, 01, 2016011200,   , BEST,   0,  83N, 1720W,  75,  982, HU,  50, NEQ,   40,   30,   20,   30, 1008,  175,  10,  90,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  160,  140,  140,  150, 
CP, 01, 2016011200,   , BEST,   0,  83N, 1720W,  75,  982, HU,  64, NEQ,   10,   10,    0,    0, 1008,  175,  10,  90,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  160,  140,  140,  150, 
CP, 01, 2016011206,   , BEST,   0,  78N, 1717W,  75,  982, HU,  34, NEQ,   90,   70,   40,   90, 1008,  175,  25,  90,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  160,  140,  140,  150, 
