AL, 03, 2019072000,   , BEST,   0, 235N,  637W,  20, 1015, DB,   0,    ,    0,    0,    0,    0, 1016,  100,  50,   0,   0,    ,   0,    ,   0,   0, GENESIS007,  ,  0,    ,    0,    0,    0,    0, genesis-num, 007, 
AL, 03, 2019072006,   , BEST,   0, 235N,  651W,  20, 1015, DB,   0,    ,    0,    0,    0,    0, 1016,  100,  50,   0,   0,    ,   0,    ,   0,   0, GENESIS007,  ,  0,    ,    0,    0,    0,    0, genesis-num, 007, 
AL, 03, 2019072012,   , BEST,   0, 235N,  665W,  20, 1015, DB,   0,    ,    0,    0,    0,    0, 1016,  100,  50,   0,   0,    ,   0,    ,   0,   0, GENESIS007,  ,  0,    ,    0,    0,    0,    0, genesis-num, 007, 
AL, 03, 2019072018,   , BEST,   0, 235N,  679W,  25, 1014, DB,   0,    ,    0,    0,    0,    0, 1016,  100,  50,   0,   0,    ,   0,    ,   0,   0, GENESIS007,  ,  0,    ,    0,    0,    0,    0, genesis-num, 007, 
AL, 03, 2019072100,   , BEST,   0, 235N,  693W,  25, 1014, DB,   0,    ,    0,    0,    0,    0, 1016,  100,  50,   0,   0,    ,   0,    ,   0,   0, GENESIS007,  ,  0,    ,    0,    0,    0,    0, genesis-num, 007, SPAWNINVEST, al782019 to al942019, 
AL, 03, 2019072106,   , BEST,   0, 235N,  707W,  25, 1014, DB,   0,    ,    0,    0,    0,    0, 1016,  100,  50,   0,   0,   L,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 007, 
AL, 03, 2019072112,   , BEST,   0, 236N,  721W,  25, 1014, DB,   0,    ,    0,    0,    0,    0, 1017,  100,  50,   0,   0,   L,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 007, 
AL, 03, 2019072118,   , BEST,   0, 237N,  735W,  25, 1014, DB,   0,    ,    0,    0,    0,    0, 1017,  100,  50,   0,   0,   L,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 007, 
AL, 03, 2019072200,   , BEST,   0, 239N,  749W,  25, 1014, DB,   0,    ,    0,    0,    0,    0, 1017,  100,  50,   0,   0,   L,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 007, 
AL, 03, 2019072206,   , BEST,   0, 242N,  763W,  25, 1014, DB,   0,    ,    0,    0,    0,    0, 1017,  100,  50,   0,   0,   L,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 007, 
AL, 03, 2019072212,   , BEST,   0, 246N,  774W,  25, 1013, DB,   0,    ,    0,    0,    0,    0, 1016,  100,  50,   0,   0,   L,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 007, 
AL, 03, 2019072218,   , BEST,   0, 251N,  784W,  25, 1013, TD,   0,    ,    0,    0,    0,    0, 1016,  100,  50,  35,   0,   L,   0,    ,   0,   0,      THREE, S,  0,    ,    0,    0,    0,    0, genesis-num, 007, TRANSITIONED, alA42019 to al032019, 
AL, 03, 2019072300,   , BEST,   0, 256N,  792W,  25, 1013, TD,   0,    ,    0,    0,    0,    0, 1016,  120,  50,  35,   0,   L,   0,    ,   0,   0,      THREE, S,  0,    ,    0,    0,    0,    0, genesis-num, 007, 
AL, 03, 2019072306,   , BEST,   0, 268N,  796W,  30, 1012, TD,   0,    ,    0,    0,    0,    0, 1016,  120,  50,  40,   0,   L,   0,    ,   0,   0,      THREE, M,  0,    ,    0,    0,    0,    0, genesis-num, 007, 
AL, 03, 2019072312,   , BEST,   0, 286N,  799W,  30, 1013, DB,   0,    ,    0,    0,    0,    0, 1014,   90,  50,  40,   0,   L,   0,    ,   0,   0,      THREE, S,  0,    ,    0,    0,    0,    0, genesis-num, 007, 
